building_number,lab,c_desktop,c_laptop,c_server,r_domestic,r_industrial,r_other,f_industrial,f_domestic,cv_0,cv_1,cv_2,cv_3,cv_4,delta_temperature,est_1,area_sm,direct_consumption,indirect_consumption
32,0,10,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,2425,17614.61,513.3216133209991
33,1,959,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,10.112043010752688,0,6400,91019.02,3166.682665801108
33,1,961,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,8.80095238095238,0,6400,80655.13,2767.866998488287
33,1,992,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,8.021075268817203,0,6400,86751.38,37123.596899885066
33,1,994,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,3.9639999999999986,0,6400,78857.63,14919.549110947954
33,1,1080,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,4.699139784946233,0,6400,72229.08,28270.512771839924
33,1,1081,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,7.152444444444441,0,6400,70786.04,41206.15710296951
33,1,1081,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,8.037419354838708,0,6400,109292.01,71116.6013472646
33,1,1090,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,7.056344086021507,0,6400,91346.83,70527.89478309563
33,1,1092,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,4.788666666666664,0,6400,91676.17,50172.241293157975
33,1,1092,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,2.0780645161290323,0,6400,85431.57,42127.43619072974
33,1,1103,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,2.0913333333333313,0,6400,92692.95,34572.774389701786
33,1,1105,82.0,32.0,8.0,0.0,0.0,0.0,1.0,0,0,4,0,0,7.669677419354841,0,6400,99644.07,8374.807737577441
34,0,301,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,4091,55471.47,3484.1518629979228
34,0,301,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,4091,44192.84,6647.833437244731
34,0,301,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,4091,47068.89,4779.988854491367
34,0,328,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,4091,42774.9,12003.721098627404
34,0,328,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,4091,38005.99,17638.92559292668
34,0,328,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,4091,54620.34,28531.343120567974
34,0,328,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,4091,64508.41,32758.34228491077
34,0,330,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,4091,44212.56,27685.64016236104
34,0,330,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,4091,46155.86,26298.44825366548
34,0,334,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,4091,39947.61,15195.167286799164
34,0,338,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,4091,47225.71,13009.744752633564
34,0,342,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,4091,49964.84,10834.06855659009
35,0,291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,1,5036,56217.33,10667.333091015453
35,0,291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,1,5036,46986.77,9864.332668233845
35,0,291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,1,5036,50310.17,19786.40881151717
35,0,291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,1,5036,43121.99,13704.499314152416
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,1,5036,52671.07,26610.857164301146
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,1,5036,55279.63,37617.84274396108
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,1,5036,58741.15,44957.3288949487
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,1,5036,43991.54,41598.54998042182
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,1,5036,45132.37,36693.3068022212
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,1,5036,30103.55,26913.11089868679
35,0,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,1,5036,50000.0,19656.065031059905
35,0,305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,1,5036,55000.0,6843.144210885851
37,0,781,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,5730,135595.06,9062.672488463166
37,0,782,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,5730,123789.73,12442.96672573865
37,0,783,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,5730,133732.12,19490.955610243615
37,0,783,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,5730,116187.89,13445.39557416524
37,0,784,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,5730,139473.42,36111.88953006909
37,0,784,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,5730,133848.56,39316.5827685808
37,0,784,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,5730,147883.47,47504.0230973835
37,0,785,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,5730,137096.25,82940.47447653388
37,0,879,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,5730,136582.0,75083.64728055563
37,0,879,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,5730,135481.0,21034.015185683485
37,0,879,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,5730,130983.0,20709.696685255603
37,0,880,105.0,129.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,5730,153504.0,9967.390730148436
38,1,46,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,10.112043010752688,0,1921,15582.61,3419.118370528392
38,1,46,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,8.80095238095238,0,1921,12980.78,2188.3418551329964
38,1,47,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,8.021075268817203,0,1921,15105.73,3273.3948171329644
38,1,47,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,3.9639999999999986,0,1921,13368.03,3475.118771957279
38,1,48,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,4.699139784946233,0,1921,15204.89,12956.211737360603
38,1,48,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4,7.152444444444441,0,1921,13891.09,16754.768760580966
38,1,48,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,8.037419354838708,0,1921,13903.07,25280.21834160516
38,1,48,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,7.056344086021507,0,1921,12097.18,24854.45689689246
38,1,48,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,4.788666666666664,0,1921,12202.62,27276.4206451079
38,1,48,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,2.0780645161290323,0,1921,12847.45,12246.892021584126
38,1,48,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,2.0913333333333313,0,1921,14312.59,5710.01040082159
38,1,49,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,4,7.669677419354841,0,1921,14860.42,1976.3212352309972
39,1,265,19.0,4.0,25.0,6.0,7.0,2.0,8.0,2,0,1,0,30,10.112043010752688,0,4621,119101.69,17294.347061990848
