building_number,lab,labs_c_desktop,non_labs_c_desktop,c_server,wet_lab_instruments,labs_delta_temperature_area,non_labs_delta_temperature_area,delta_temperature,area_sm,direct_consumption,indirect_consumption
25,0,0,0,0.0,0.0,0.0,11516.743333333327,4.788666666666664,2405,11566.03,5150.032917307701
25,0,0,0,0.0,0.0,0.0,4997.745161290322,2.0780645161290323,2405,11800.86,3650.628770107457
25,0,0,0,0.0,0.0,0.0,5029.656666666663,2.0913333333333317,2405,12432.62,4649.556524029954
25,0,0,0,0.0,0.0,0.0,18445.574193548393,7.669677419354841,2405,14084.1,15479.566346896512
26,0,0,10,0.0,0.0,0.0,29153.019999999997,10.112043010752688,2883,37323.34,0.0
26,0,0,10,0.0,0.0,0.0,25373.14571428571,8.80095238095238,2883,31400.99,0.0
26,0,0,10,0.0,0.0,0.0,23124.759999999995,8.021075268817203,2883,30622.81,184.2275741231098
26,0,0,10,0.0,0.0,0.0,11428.211999999998,3.963999999999999,2883,23948.81,1552.3285337617128
26,0,0,10,0.0,0.0,0.0,13547.61999999999,4.699139784946233,2883,28444.66,1562.379497096451
26,0,0,10,0.0,0.0,0.0,20620.497333333326,7.152444444444441,2883,26581.0,3420.154334176208
26,0,0,10,0.0,0.0,0.0,23171.879999999994,8.037419354838708,2883,29383.33,4914.10711071297
26,0,0,10,0.0,0.0,0.0,20343.440000000006,7.056344086021507,2883,27856.74,3364.7710408198213
26,0,0,11,0.0,0.0,0.0,13805.725999999993,4.788666666666664,2883,25817.91,8706.351379760246
26,0,0,11,0.0,0.0,0.0,5991.06,2.0780645161290323,2883,25477.89,9091.136474042056
26,0,0,11,0.0,0.0,0.0,6029.313999999996,2.0913333333333317,2883,28014.99,334.7271656118084
26,0,0,11,0.0,0.0,0.0,22111.680000000008,7.669677419354841,2883,31236.1,0.0
28,0,0,0,0.0,0.0,0.0,29355.26086021505,10.112043010752688,2903,19830.62,0.0
28,0,0,0,0.0,0.0,0.0,25549.164761904758,8.80095238095238,2903,17332.84,0.0
28,0,0,0,0.0,0.0,0.0,23285.18150537634,8.021075268817203,2903,18593.42,179.37758455281548
28,0,0,0,0.0,0.0,0.0,11507.491999999997,3.963999999999999,2903,17016.74,4282.242490766737
28,0,0,0,0.0,0.0,0.0,13641.602795698915,4.699139784946233,2903,15507.43,5029.965415506246
