אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
145340,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145341,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145342,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145343,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145344,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145345,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145346,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
145347,12/07/2016,1,פעיל,12/07/2016,80000101,"2,799.81",871.94,"מקרר ביתי, 400 ליטר",המחיר כולל הובלה ופיזור לדירות.. הדירות ממוקמות בקומת קרקע ובקומה ראשונה ללא מעלית.. מקרר שארפ 2190SJ בצבע לבן.,5807,מעונות סטודנטים,4286795,,,,,,,3,מעונות ד',D,מעונות ד',0,0,
157314,30/09/2019,1,פעיל,03/12/2019,80000109,"2,796.48",870.91,מקרר ביתי,מקרר אלקטרה 100108/511,5950,מחקרים רפואיים,5096591,el100108,,,,לא,לא,5,קמפוס מרקוס,39,"בנין המכון למחקר ישומי במדעי החיים ע""ש דה 39-פיצ'וטו",1,121,
160282,26/08/2020,1,פעיל,26/08/2020,80000109,"2,790.00",868.89,מקרר ביתי,"מקרר דגם -2239 SJ- 400 ליטר ,אינוורטר ,נו פרוסט . הובלה לנקודה אחת למחסן מדרשת שדה בוקר.. . מקרר דגם SJ2239, 400 ליטר אינוונטר נו  פרוסט, צבע . סילבר כולל הובלה לקמפוס שדה בוקר, במדרשת בן-גוריון . הורדה בנק' אחת.",3926,שדה בוקר-פרוייקטים מיוחדים,4362123,,,,,,,7,קמפוס שדה בוקר,SB-47,,0,1,
